competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Copa del Rey ,Round of 16,22/12/10,Home,Real Madrid,Levante UD,8:0,LW,44',4:0,Right-footed shot,Karim Benzema,2010/11,2010s,1,31-45
Copa del Rey ,Round of 16,22/12/10,Home,Real Madrid,Levante UD,8:0,LW,71',6:0,Right-footed shot,Ángel Di María,2010/11,2010s,1,61-75
Copa del Rey ,Round of 16,22/12/10,Home,Real Madrid,Levante UD,8:0,LW,73',7:0,Right-footed shot,Karim Benzema,2010/11,2010s,1,61-75
LaLiga ,17,03/01/11,Away,Real Madrid,Getafe CF,2:3,LW,11',0:1,Penalty,Not Applicable,2010/11,2010s,0,01-15
LaLiga ,17,03/01/11,Away,Real Madrid,Getafe CF,2:3,LW,57',1:3,Right-footed shot,Karim Benzema,2010/11,2010s,0,46-60
LaLiga ,18,09/01/11,Home,Real Madrid,Villarreal CF,4:2,LW,10',1:1,Right-footed shot,Mesut Özil,2010/11,2010s,1,01-15
LaLiga ,18,09/01/11,Home,Real Madrid,Villarreal CF,4:2,LW,45',2:2,Header,Xabi Alonso,2010/11,2010s,1,31-45
LaLiga ,18,09/01/11,Home,Real Madrid,Villarreal CF,4:2,LW,79',3:2,Left-footed shot,Kaká,2010/11,2010s,1,76-90
Copa del Rey ,Quarter-Finals,13/01/11,Home,Real Madrid,Atlético de Madrid,3:1,LW,60',2:1,Right-footed shot,Mesut Özil,2010/11,2010s,1,46-60
Copa del Rey ,Quarter-Finals,20/01/11,Away,Real Madrid,Atlético de Madrid,0:1,CF,22',0:1,Right-footed shot,Sergio Ramos,2010/11,2010s,0,16-30
LaLiga ,22,06/02/11,Home,Real Madrid,Real Sociedad,4:1,LW,20',2:0,Left-footed shot,Kaká,2010/11,2010s,1,16-30
LaLiga ,22,06/02/11,Home,Real Madrid,Real Sociedad,4:1,LW,42',3:0,Header,Mesut Özil,2010/11,2010s,1,31-45
LaLiga ,26,03/03/11,Home,Real Madrid,Málaga CF,7:0,LW,50',4:0,Left-footed shot,Mesut Özil,2010/11,2010s,1,46-60
LaLiga ,26,03/03/11,Home,Real Madrid,Málaga CF,7:0,LW,67',6:0,Penalty,Not Applicable,2010/11,2010s,1,61-75
LaLiga ,26,03/03/11,Home,Real Madrid,Málaga CF,7:0,LW,76',7:0,Right-footed shot,Sergio Canales,2010/11,2010s,1,76-90
UEFA Champions League ,Quarter-Finals,05/04/11,Home,Real Madrid,Tottenham Hotspur,4:0,LW,87',4:0,Right-footed shot,Kaká,2010/11,2010s,1,76-90
LaLiga ,31,09/04/11,Away,Real Madrid,Athletic Bilbao,0:3,CF,70',0:3,Right-footed shot,Esteban Granero,2010/11,2010s,0,61-75
UEFA Champions League ,Quarter-Finals,13/04/11,Away,Real Madrid,Tottenham Hotspur,0:1,RW,50',0:1,Right-footed shot,Sami Khedira,2010/11,2010s,0,46-60
LaLiga ,32,16/04/11,Home,Real Madrid,FC Barcelona,1:1,LW,82',1:1,Penalty,Not Applicable,2010/11,2010s,1,76-90
Copa del Rey ,Final,20/04/11,Away,Real Madrid,FC Barcelona,0:1,CF,103',0:1,Header,Ángel Di María,2010/11,2010s,0,90+
LaLiga ,35,07/05/11,Away,Real Madrid,Sevilla FC,2:6,LW,30',0:2,Right-footed shot,Pepe,2010/11,2010s,0,16-30
LaLiga ,35,07/05/11,Away,Real Madrid,Sevilla FC,2:6,LW,64',1:4,Right-footed shot,Not Applicable,2010/11,2010s,0,61-75
LaLiga ,35,07/05/11,Away,Real Madrid,Sevilla FC,2:6,LW,70',1:5,Right-footed shot,Mesut Özil,2010/11,2010s,0,61-75
LaLiga ,35,07/05/11,Away,Real Madrid,Sevilla FC,2:6,LW,76',1:6,Right-footed shot,Karim Benzema,2010/11,2010s,0,76-90
LaLiga ,36,10/05/11,Home,Real Madrid,Getafe CF,4:0,LW,23',1:0,Header,Mesut Özil,2010/11,2010s,1,16-30
LaLiga ,36,10/05/11,Home,Real Madrid,Getafe CF,4:0,LW,57',2:0,Left-footed shot,Mesut Özil,2010/11,2010s,1,46-60
LaLiga ,36,10/05/11,Home,Real Madrid,Getafe CF,4:0,LW,90'+1,4:0,Penalty,Not Applicable,2010/11,2010s,1,76-90
LaLiga ,37,15/05/11,Away,Real Madrid,Villarreal CF,1:3,CF,22',0:2,Direct free kick,Not Applicable,2010/11,2010s,0,16-30
LaLiga ,37,15/05/11,Away,Real Madrid,Villarreal CF,1:3,CF,90',1:3,Direct free kick,Not Applicable,2010/11,2010s,0,76-90
LaLiga ,38,21/05/11,Home,Real Madrid,UD Almería,8:1,LW,4',1:0,Right-footed shot,Sergio Ramos,2010/11,2010s,1,01-15
LaLiga ,38,21/05/11,Home,Real Madrid,UD Almería,8:1,LW,76',7:1,Right-footed shot,Sergio Ramos,2010/11,2010s,1,76-90
Supercopa ,Final,17/08/11,Away,Real Madrid,FC Barcelona,3:2,LW,20',1:1,Right-footed shot,Karim Benzema,2011/12,2010s,0,16-30
LaLiga ,2,28/08/11,Away,Real Madrid,Real Zaragoza,0:6,LW,23',0:1,Left-footed shot,Mesut Özil,2011/12,2010s,0,16-30
LaLiga ,2,28/08/11,Away,Real Madrid,Real Zaragoza,0:6,LW,70',0:4,Right-footed shot,Ángel Di María,2011/12,2010s,0,61-75
LaLiga ,2,28/08/11,Away,Real Madrid,Real Zaragoza,0:6,LW,86',0:6,Right-footed shot,Kaká,2011/12,2010s,0,76-90
LaLiga ,3,10/09/11,Home,Real Madrid,Getafe CF,4:2,LW,59',2:1,Penalty,Not Applicable,2011/12,2010s,1,46-60
LaLiga ,6,24/09/11,Home,Real Madrid,Rayo Vallecano,6:2,LW,39',1:1,Left-footed shot,Kaká,2011/12,2010s,1,31-45
LaLiga ,6,24/09/11,Home,Real Madrid,Rayo Vallecano,6:2,LW,51',3:1,Penalty,Not Applicable,2011/12,2010s,1,46-60
LaLiga ,6,24/09/11,Home,Real Madrid,Rayo Vallecano,6:2,LW,84',6:2,Penalty,Not Applicable,2011/12,2010s,1,76-90
UEFA Champions League ,Group Stage,27/09/11,Home,Real Madrid,Ajax Amsterdam,3:0,LW,25',1:0,Right-footed shot,Karim Benzema,2011/12,2010s,1,16-30
LaLiga ,9,22/10/11,Away,Real Madrid,Málaga CF,0:4,LW,24',0:2,Left-footed shot,Ángel Di María,2011/12,2010s,0,16-30
LaLiga ,9,22/10/11,Away,Real Madrid,Málaga CF,0:4,LW,28',0:3,Right-footed shot,Xabi Alonso,2011/12,2010s,0,16-30
LaLiga ,9,22/10/11,Away,Real Madrid,Málaga CF,0:4,LW,38',0:4,Right-footed shot,Sergio Ramos,2011/12,2010s,0,31-45
UEFA Champions League ,Group Stage,02/11/11,Away,Real Madrid,Olympique Lyon,0:2,LW,25',0:1,Direct free kick,Not Applicable,2011/12,2010s,0,16-30
UEFA Champions League ,Group Stage,02/11/11,Away,Real Madrid,Olympique Lyon,0:2,LW,69',0:2,Penalty,Not Applicable,2011/12,2010s,0,61-75
LaLiga ,12,06/11/11,Home,Real Madrid,CA Osasuna,7:1,LW,23',1:0,Header,Ángel Di María,2011/12,2010s,1,16-30
LaLiga ,12,06/11/11,Home,Real Madrid,CA Osasuna,7:1,LW,55',4:1,Penalty,Not Applicable,2011/12,2010s,1,46-60
LaLiga ,12,06/11/11,Home,Real Madrid,CA Osasuna,7:1,LW,58',5:1,Header,Álvaro Arbeloa,2011/12,2010s,1,46-60
LaLiga ,13,19/11/11,Away,Real Madrid,Valencia CF,2:3,LW,79',1:3,Right-footed shot,Pepe,2011/12,2010s,0,76-90
LaLiga ,14,26/11/11,Home,Real Madrid,Atlético de Madrid,4:1,LW,24',1:1,Penalty,Not Applicable,2011/12,2010s,1,16-30
LaLiga ,14,26/11/11,Home,Real Madrid,Atlético de Madrid,4:1,LW,82',4:1,Penalty,Not Applicable,2011/12,2010s,1,76-90
LaLiga ,15,03/12/11,Away,Real Madrid,Sporting Gijón,0:3,LW,65',0:2,Right-footed shot,Ángel Di María,2011/12,2010s,0,61-75
Copa del Rey ,Fourth Round,13/12/11,Away,Real Madrid,SD Ponferradina,0:2,LW,74',0:2,Left-footed shot,Gonzalo Higuaín,2011/12,2010s,0,61-75
LaLiga ,17,17/12/11,Away,Real Madrid,Sevilla FC,2:6,LW,10',0:1,Right-footed shot,Ángel Di María,2011/12,2010s,0,01-15
LaLiga ,17,17/12/11,Away,Real Madrid,Sevilla FC,2:6,LW,41',0:3,Right-footed shot,Karim Benzema,2011/12,2010s,0,31-45
LaLiga ,17,17/12/11,Away,Real Madrid,Sevilla FC,2:6,LW,86',1:5,Penalty,Not Applicable,2011/12,2010s,0,76-90
LaLiga ,18,07/01/12,Home,Real Madrid,Granada CF,5:1,LW,89',5:1,Right-footed shot,Not Applicable,2011/12,2010s,1,76-90
Copa del Rey ,Quarter-Finals,18/01/12,Home,Real Madrid,FC Barcelona,1:2,LW,11',1:0,Left-footed shot,Karim Benzema,2011/12,2010s,1,01-15
LaLiga ,1,22/01/12,Home,Real Madrid,Athletic Bilbao,4:1,LW,46',2:1,Penalty,Not Applicable,2011/12,2010s,1,46-60
LaLiga ,1,22/01/12,Home,Real Madrid,Athletic Bilbao,4:1,LW,67',3:1,Penalty,Not Applicable,2011/12,2010s,1,61-75
Copa del Rey ,Quarter-Finals,25/01/12,Away,Real Madrid,FC Barcelona,2:2,LW,68',2:1,Right-footed shot,Mesut Özil,2011/12,2010s,0,61-75
LaLiga ,21,28/01/12,Home,Real Madrid,Real Zaragoza,3:1,LW,48',2:1,Right-footed shot,Mesut Özil,2011/12,2010s,1,46-60
LaLiga ,23,12/02/12,Home,Real Madrid,Levante UD,4:2,LW,45',1:1,Penalty,Not Applicable,2011/12,2010s,1,31-45
LaLiga ,23,12/02/12,Home,Real Madrid,Levante UD,4:2,LW,50',2:1,Header,Gonzalo Higuaín,2011/12,2010s,1,46-60
LaLiga ,23,12/02/12,Home,Real Madrid,Levante UD,4:2,LW,57',3:1,Right-footed shot,Fábio Coentrão,2011/12,2010s,1,46-60
LaLiga ,24,18/02/12,Home,Real Madrid,Racing Santander,4:0,LW,6',1:0,Header,Kaká,2011/12,2010s,1,01-15
UEFA Champions League ,Round of 16,21/02/12,Away,Real Madrid,CSKA Moscow,1:1,LW,28',0:1,Left-footed shot,Fábio Coentrão,2011/12,2010s,0,16-30
LaLiga ,25,26/02/12,Away,Real Madrid,Rayo Vallecano,0:1,LW,53',0:1,Right-footed shot,Not Applicable,2011/12,2010s,0,46-60
LaLiga ,26,04/03/12,Home,Real Madrid,RCD Espanyol Barcelona,5:0,LW,23',1:0,Left-footed shot,Gonzalo Higuaín,2011/12,2010s,1,16-30
LaLiga ,27,10/03/12,Away,Real Madrid,Real Betis Balompié,2:3,LW,52',1:2,Left-footed shot,Marcelo,2011/12,2010s,0,46-60
LaLiga ,27,10/03/12,Away,Real Madrid,Real Betis Balompié,2:3,LW,73',2:3,Left-footed shot,Not Applicable,2011/12,2010s,0,61-75
UEFA Champions League ,Round of 16,14/03/12,Home,Real Madrid,CSKA Moscow,4:1,LW,55',2:0,Right-footed shot,Sergio Ramos,2011/12,2010s,1,46-60
UEFA Champions League ,Round of 16,14/03/12,Home,Real Madrid,CSKA Moscow,4:1,LW,90'+4,4:1,Right-footed shot,Karim Benzema,2011/12,2010s,1,76-90
LaLiga ,29,21/03/12,Away,Real Madrid,Villarreal CF,1:1,LW,61',0:1,Right-footed shot,Mesut Özil,2011/12,2010s,0,61-75
LaLiga ,30,24/03/12,Home,Real Madrid,Real Sociedad,5:1,LW,32',2:0,Right-footed shot,Kaká,2011/12,2010s,1,31-45
LaLiga ,30,24/03/12,Home,Real Madrid,Real Sociedad,5:1,LW,55',5:1,Right-footed shot,Gonzalo Higuaín,2011/12,2010s,1,46-60
LaLiga ,31,31/03/12,Away,Real Madrid,CA Osasuna,1:5,LW,37',0:2,Long distance kick,Xabi Alonso,2011/12,2010s,0,31-45
LaLiga ,31,31/03/12,Away,Real Madrid,CA Osasuna,1:5,LW,70',1:4,Direct free kick,Not Applicable,2011/12,2010s,0,61-75
UEFA Champions League ,Quarter-Finals,04/04/12,Home,Real Madrid,APOEL Nicosia,5:2,LW,26',1:0,Right-footed shot,Marcelo,2011/12,2010s,1,16-30
UEFA Champions League ,Quarter-Finals,04/04/12,Home,Real Madrid,APOEL Nicosia,5:2,LW,75',3:1,Direct free kick,Not Applicable,2011/12,2010s,1,61-75
LaLiga ,33,11/04/12,Away,Real Madrid,Atlético de Madrid,1:4,LW,24',0:1,Direct free kick,Not Applicable,2011/12,2010s,0,16-30
LaLiga ,33,11/04/12,Away,Real Madrid,Atlético de Madrid,1:4,LW,67',1:2,Long distance kick,Not Applicable,2011/12,2010s,0,61-75
LaLiga ,33,11/04/12,Away,Real Madrid,Atlético de Madrid,1:4,LW,82',1:3,Penalty,Not Applicable,2011/12,2010s,0,76-90
LaLiga ,34,14/04/12,Home,Real Madrid,Sporting Gijón,3:1,LW,74',2:1,Header,Ángel Di María,2011/12,2010s,1,61-75
LaLiga ,35,21/04/12,Away,Real Madrid,FC Barcelona,1:2,LW,73',1:2,Right-footed shot,Mesut Özil,2011/12,2010s,0,61-75
UEFA Champions League ,Semi-Finals,25/04/12,Home,Real Madrid,Bayern Munich,3:4,LW,6',1:0,Penalty,Not Applicable,2011/12,2010s,1,01-15
UEFA Champions League ,Semi-Finals,25/04/12,Home,Real Madrid,Bayern Munich,3:4,LW,14',2:0,Right-footed shot,Mesut Özil,2011/12,2010s,1,01-15
LaLiga ,36,29/04/12,Home,Real Madrid,Sevilla FC,3:0,LW,19',1:0,Right-footed shot,Karim Benzema,2011/12,2010s,1,16-30
LaLiga ,20,02/05/12,Away,Real Madrid,Athletic Bilbao,0:3,LW,49',0:3,Header,Xabi Alonso,2011/12,2010s,0,46-60
LaLiga ,37,05/05/12,Away,Real Madrid,Granada CF,1:2,LW,81',1:1,Penalty,Not Applicable,2011/12,2010s,0,76-90
LaLiga ,38,13/05/12,Home,Real Madrid,RCD Mallorca,4:1,LW,18',1:0,Header,Marcelo,2011/12,2010s,1,16-30
Supercopa ,Final,23/08/12,Away,Real Madrid,FC Barcelona,3:2,LW,55',0:1,Header,Mesut Özil,2012/13,2010s,0,46-60
Supercopa ,Final,29/08/12,Home,Real Madrid,FC Barcelona,2:1,LW,19',2:0,Right-footed shot,Sami Khedira,2012/13,2010s,1,16-30
LaLiga ,3,02/09/12,Home,Real Madrid,Granada CF,3:0,LW,25',1:0,Right-footed shot,José Callejón,2012/13,2010s,1,16-30
LaLiga ,3,02/09/12,Home,Real Madrid,Granada CF,3:0,LW,53',2:0,Left-footed shot,Not Applicable,2012/13,2010s,1,46-60
UEFA Champions League ,Group Stage,18/09/12,Home,Real Madrid,Manchester City,3:2,LW,90',3:2,Right-footed shot,Marcelo,2012/13,2010s,1,76-90
LaLiga ,5,24/09/12,Away,Real Madrid,Rayo Vallecano,0:2,LW,70',0:2,Penalty,Not Applicable,2012/13,2010s,0,61-75
LaLiga ,6,30/09/12,Home,Real Madrid,Deportivo de La Coruña,5:1,LW,22',1:1,Penalty,Not Applicable,2012/13,2010s,1,16-30
LaLiga ,6,30/09/12,Home,Real Madrid,Deportivo de La Coruña,5:1,LW,43',3:1,Header,Not Applicable,2012/13,2010s,1,31-45
LaLiga ,6,30/09/12,Home,Real Madrid,Deportivo de La Coruña,5:1,LW,83',5:1,Penalty,Not Applicable,2012/13,2010s,1,76-90
UEFA Champions League ,Group Stage,03/10/12,Away,Real Madrid,Ajax Amsterdam,1:4,LW,42',0:1,Right-footed shot,Karim Benzema,2012/13,2010s,0,31-45
UEFA Champions League ,Group Stage,03/10/12,Away,Real Madrid,Ajax Amsterdam,1:4,LW,79',1:3,Right-footed shot,Karim Benzema,2012/13,2010s,0,76-90
UEFA Champions League ,Group Stage,03/10/12,Away,Real Madrid,Ajax Amsterdam,1:4,LW,81',1:4,Left-footed shot,Sami Khedira,2012/13,2010s,0,76-90
LaLiga ,7,07/10/12,Away,Real Madrid,FC Barcelona,2:2,LW,22',0:1,Left-footed shot,Karim Benzema,2012/13,2010s,0,16-30
LaLiga ,7,07/10/12,Away,Real Madrid,FC Barcelona,2:2,LW,66',2:2,Right-footed shot,Mesut Özil,2012/13,2010s,0,61-75
LaLiga ,8,20/10/12,Home,Real Madrid,Celta de Vigo,2:0,LW,67',2:0,Penalty,Not Applicable,2012/13,2010s,1,61-75
UEFA Champions League ,Group Stage,24/10/12,Away,Real Madrid,Borussia Dortmund,2:1,LW,38',1:1,Right-footed shot,Mesut Özil,2012/13,2010s,0,31-45
LaLiga ,9,28/10/12,Away,Real Madrid,RCD Mallorca,0:5,LW,22',0:2,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,0,16-30
LaLiga ,9,28/10/12,Away,Real Madrid,RCD Mallorca,0:5,LW,73',0:4,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,0,61-75
LaLiga ,11,11/11/12,Away,Real Madrid,Levante UD,1:2,CF,21',0:1,Right-footed shot,Not Applicable,2012/13,2010s,0,16-30
LaLiga ,14,01/12/12,Home,Real Madrid,Atlético de Madrid,2:0,LW,16',1:0,Direct free kick,Not Applicable,2012/13,2010s,1,16-30
UEFA Champions League ,Group Stage,04/12/12,Home,Real Madrid,Ajax Amsterdam,4:1,LW,13',1:0,Right-footed shot,Karim Benzema,2012/13,2010s,1,01-15
Copa del Rey ,Round of 16,12/12/12,Away,Real Madrid,Celta de Vigo,2:1,LW,87',2:1,Left-footed shot,Xabi Alonso,2012/13,2010s,0,76-90
LaLiga ,16,16/12/12,Home,Real Madrid,RCD Espanyol Barcelona,2:2,CF,45',1:1,Right-footed shot,Sami Khedira,2012/13,2010s,1,31-45
LaLiga ,18,06/01/13,Home,Real Madrid,Real Sociedad,4:3,LW,68',3:2,Left-footed shot,Karim Benzema,2012/13,2010s,1,61-75
LaLiga ,18,06/01/13,Home,Real Madrid,Real Sociedad,4:3,LW,70',4:2,Direct free kick,Not Applicable,2012/13,2010s,1,61-75
Copa del Rey ,Round of 16,09/01/13,Home,Real Madrid,Celta de Vigo,4:0,LW,2',1:0,Right-footed shot,Álvaro Arbeloa,2012/13,2010s,1,01-15
Copa del Rey ,Round of 16,09/01/13,Home,Real Madrid,Celta de Vigo,4:0,LW,24',2:0,Left-footed shot,Luka Modrić,2012/13,2010s,1,16-30
Copa del Rey ,Round of 16,09/01/13,Home,Real Madrid,Celta de Vigo,4:0,LW,87',3:0,Left-footed shot,Gonzalo Higuaín,2012/13,2010s,1,76-90
LaLiga ,20,20/01/13,Away,Real Madrid,Valencia CF,0:5,LW,35',0:3,Left-footed shot,Fábio Coentrão,2012/13,2010s,0,31-45
LaLiga ,20,20/01/13,Away,Real Madrid,Valencia CF,0:5,LW,41',0:4,Right-footed shot,Mesut Özil,2012/13,2010s,0,31-45
LaLiga ,21,27/01/13,Home,Real Madrid,Getafe CF,4:0,LW,62',2:0,Left-footed shot,Mesut Özil,2012/13,2010s,1,61-75
LaLiga ,21,27/01/13,Home,Real Madrid,Getafe CF,4:0,LW,65',3:0,Header,Ángel Di María,2012/13,2010s,1,61-75
LaLiga ,21,27/01/13,Home,Real Madrid,Getafe CF,4:0,LW,72',4:0,Penalty,Not Applicable,2012/13,2010s,1,61-75
LaLiga ,23,09/02/13,Home,Real Madrid,Sevilla FC,4:1,LW,26',2:0,Left-footed shot,Kaká,2012/13,2010s,1,16-30
LaLiga ,23,09/02/13,Home,Real Madrid,Sevilla FC,4:1,LW,46',3:0,Left-footed shot,Álvaro Arbeloa,2012/13,2010s,1,46-60
LaLiga ,23,09/02/13,Home,Real Madrid,Sevilla FC,4:1,LW,59',4:0,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,1,46-60
UEFA Champions League ,Round of 16,13/02/13,Home,Real Madrid,Manchester United,1:1,LW,30',1:1,Header,Ángel Di María,2012/13,2010s,1,16-30
Copa del Rey ,Semi-Finals,26/02/13,Away,Real Madrid,FC Barcelona,1:3,LW,12',0:1,Penalty,Not Applicable,2012/13,2010s,0,01-15
Copa del Rey ,Semi-Finals,26/02/13,Away,Real Madrid,FC Barcelona,1:3,LW,57',0:2,Left-footed shot,Not Applicable,2012/13,2010s,0,46-60
UEFA Champions League ,Round of 16,05/03/13,Away,Real Madrid,Manchester United,1:2,LW,69',1:2,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,0,61-75
LaLiga ,27,10/03/13,Away,Real Madrid,Celta de Vigo,1:2,LW,61',0:1,Left-footed shot,José Callejón,2012/13,2010s,0,61-75
LaLiga ,27,10/03/13,Away,Real Madrid,Celta de Vigo,1:2,LW,71',1:2,Penalty,Not Applicable,2012/13,2010s,0,61-75
LaLiga ,28,16/03/13,Home,Real Madrid,RCD Mallorca,5:2,LW,52',2:2,Header,Mesut Özil,2012/13,2010s,1,46-60
LaLiga ,29,30/03/13,Away,Real Madrid,Real Zaragoza,1:1,LW,38',1:1,Long distance kick,Not Applicable,2012/13,2010s,0,31-45
UEFA Champions League ,Quarter-Finals,03/04/13,Home,Real Madrid,Galatasaray,3:0,LW,9',1:0,Left-footed shot,Mesut Özil,2012/13,2010s,1,01-15
LaLiga ,30,06/04/13,Home,Real Madrid,Levante UD,5:1,RW,84',3:1,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,1,76-90
UEFA Champions League ,Quarter-Finals,09/04/13,Away,Real Madrid,Galatasaray,3:2,LW,8',0:1,Right-footed shot,Sami Khedira,2012/13,2010s,0,01-15
UEFA Champions League ,Quarter-Finals,09/04/13,Away,Real Madrid,Galatasaray,3:2,LW,90'+2,3:2,Right-footed shot,Karim Benzema,2012/13,2010s,0,76-90
LaLiga ,31,14/04/13,Away,Real Madrid,Athletic Bilbao,0:3,LW,2',0:1,Direct free kick,Not Applicable,2012/13,2010s,0,01-15
LaLiga ,31,14/04/13,Away,Real Madrid,Athletic Bilbao,0:3,LW,68',0:2,Header,Xabi Alonso,2012/13,2010s,0,61-75
UEFA Champions League ,Semi-Finals,24/04/13,Away,Real Madrid,Borussia Dortmund,4:1,LW,43',1:1,Right-footed shot,Gonzalo Higuaín,2012/13,2010s,0,31-45
LaLiga ,34,04/05/13,Home,Real Madrid,Real Valladolid CF,4:3,LW,32',2:1,Header,Ángel Di María,2012/13,2010s,1,31-45
LaLiga ,34,04/05/13,Home,Real Madrid,Real Valladolid CF,4:3,LW,70',4:2,Header,Mesut Özil,2012/13,2010s,1,61-75
LaLiga ,36,08/05/13,Home,Real Madrid,Málaga CF,6:2,LW,26',2:1,Right-footed shot,Xabi Alonso,2012/13,2010s,1,16-30
Copa del Rey ,Final,17/05/13,Away,Real Madrid,Atlético de Madrid,2:1,LW,14',0:1,Header,Mesut Özil,2012/13,2010s,0,01-15
LaLiga ,3,01/09/13,Home,Real Madrid,Athletic Bilbao,3:1,LW,45',2:0,Header,Ángel Di María,2013/14,2010s,1,31-45
LaLiga ,4,14/09/13,Away,Real Madrid,Villarreal CF,2:2,LW,64',1:2,Right-footed shot,Not Applicable,2013/14,2010s,0,61-75
UEFA Champions League ,Group Stage,17/09/13,Away,Real Madrid,Galatasaray,1:6,LW,63',0:3,Left-footed shot,Isco,2013/14,2010s,0,61-75
UEFA Champions League ,Group Stage,17/09/13,Away,Real Madrid,Galatasaray,1:6,LW,66',0:4,Tap-in,Sergio Ramos,2013/14,2010s,0,61-75
UEFA Champions League ,Group Stage,17/09/13,Away,Real Madrid,Galatasaray,1:6,LW,90',1:6,Left-footed shot,Karim Benzema,2013/14,2010s,0,76-90
LaLiga ,5,22/09/13,Home,Real Madrid,Getafe CF,4:1,LW,34',2:1,Penalty,Not Applicable,2013/14,2010s,1,31-45
LaLiga ,5,22/09/13,Home,Real Madrid,Getafe CF,4:1,LW,90',4:1,Right-footed shot,Sami Khedira,2013/14,2010s,1,76-90
LaLiga ,6,25/09/13,Away,Real Madrid,Elche CF,1:2,LW,51',0:1,Direct free kick,Not Applicable,2013/14,2010s,0,46-60
LaLiga ,6,25/09/13,Away,Real Madrid,Elche CF,1:2,LW,90'+6,1:2,Penalty,Not Applicable,2013/14,2010s,0,76-90
UEFA Champions League ,Group Stage,02/10/13,Home,Real Madrid,FC Copenhagen,4:0,LW,21',1:0,Header,Marcelo,2013/14,2010s,1,16-30
UEFA Champions League ,Group Stage,02/10/13,Home,Real Madrid,FC Copenhagen,4:0,LW,65',2:0,Header,Ángel Di María,2013/14,2010s,1,61-75
LaLiga ,8,05/10/13,Away,Real Madrid,Levante UD,2:3,LW,90'+4,2:3,Right-footed shot,Luka Modrić,2013/14,2010s,0,76-90
LaLiga ,9,19/10/13,Home,Real Madrid,Málaga CF,2:0,LW,90'+1,2:0,Penalty,Not Applicable,2013/14,2010s,1,76-90
UEFA Champions League ,Group Stage,23/10/13,Home,Real Madrid,Juventus FC,2:1,LW,4',1:0,Right-footed shot,Ángel Di María,2013/14,2010s,1,01-15
UEFA Champions League ,Group Stage,23/10/13,Home,Real Madrid,Juventus FC,2:1,LW,29',2:1,Penalty,Not Applicable,2013/14,2010s,1,16-30
LaLiga ,11,30/10/13,Home,Real Madrid,Sevilla FC,7:3,LW,31',3:0,Penalty,Not Applicable,2013/14,2010s,1,31-45
LaLiga ,11,30/10/13,Home,Real Madrid,Sevilla FC,7:3,LW,60',5:2,Right-footed shot,Gareth Bale,2013/14,2010s,1,46-60
LaLiga ,11,30/10/13,Home,Real Madrid,Sevilla FC,7:3,LW,71',6:3,Right-footed shot,Karim Benzema,2013/14,2010s,1,61-75
LaLiga ,12,02/11/13,Away,Real Madrid,Rayo Vallecano,2:3,LW,3',0:1,Right-footed shot,Luka Modrić,2013/14,2010s,0,01-15
LaLiga ,12,02/11/13,Away,Real Madrid,Rayo Vallecano,2:3,LW,48',0:3,Right-footed shot,Gareth Bale,2013/14,2010s,0,46-60
UEFA Champions League ,Group Stage,05/11/13,Away,Real Madrid,Juventus FC,2:2,LW,52',1:1,Right-footed shot,Karim Benzema,2013/14,2010s,0,46-60
LaLiga ,13,09/11/13,Home,Real Madrid,Real Sociedad,5:1,LW,12',1:0,Right-footed shot,Karim Benzema,2013/14,2010s,1,01-15
LaLiga ,13,09/11/13,Home,Real Madrid,Real Sociedad,5:1,LW,27',3:0,Penalty,Not Applicable,2013/14,2010s,1,16-30
LaLiga ,13,09/11/13,Home,Real Madrid,Real Sociedad,5:1,LW,76',5:1,Direct free kick,Not Applicable,2013/14,2010s,1,76-90
LaLiga ,14,23/11/13,Away,Real Madrid,UD Almería,0:5,LW,3',0:1,Left-footed shot,Isco,2013/14,2010s,0,01-15
UEFA Champions League ,Group Stage,10/12/13,Away,Real Madrid,FC Copenhagen,0:2,LW,48',0:2,Right-footed shot,Pepe,2013/14,2010s,0,46-60
LaLiga ,17,22/12/13,Away,Real Madrid,Valencia CF,2:3,LW,40',1:2,Header,Ángel Di María,2013/14,2010s,0,31-45
LaLiga ,18,06/01/14,Home,Real Madrid,Celta de Vigo,3:0,LW,82',2:0,Right-footed shot,Daniel Carvajal,2013/14,2010s,1,76-90
LaLiga ,18,06/01/14,Home,Real Madrid,Celta de Vigo,3:0,LW,90',3:0,Right-footed shot,Gareth Bale,2013/14,2010s,1,76-90
Copa del Rey ,Round of 16,15/01/14,Away,Real Madrid,CA Osasuna,0:2,LW,22',0:1,Direct free kick,Not Applicable,2013/14,2010s,0,16-30
LaLiga ,20,18/01/14,Away,Real Madrid,Real Betis Balompié,0:5,LW,10',0:1,Right-footed shot,Ángel Di María,2013/14,2010s,0,01-15
LaLiga ,21,25/01/14,Home,Real Madrid,Granada CF,2:0,LW,57',1:0,Right-footed shot,Luka Modrić,2013/14,2010s,1,46-60
