competition,stage,match_date,home_away,team,opponent,final_score,player_position,goal_minute,score_after_goal,goal_method,assist_player,season,goal_decade,is_home_goal,goal_minute_bucket
Premier League ,20,26/12/06,Home,Manchester United,Wigan Athletic,3:1,LW,47',1:0,Header,Paul Scholes,2006/07,2000s,1,46-60
Premier League ,20,26/12/06,Home,Manchester United,Wigan Athletic,3:1,LW,50',2:0,Penalty rebound,Not Applicable,2006/07,2000s,1,46-60
Premier League ,21,30/12/06,Home,Manchester United,Reading FC,3:2,LW,58',2:1,Right-footed shot,Not Applicable,2006/07,2000s,1,46-60
Premier League ,21,30/12/06,Home,Manchester United,Reading FC,3:2,LW,77',3:1,Right-footed shot,Ryan Giggs,2006/07,2000s,1,76-90
Premier League ,23,13/01/07,Home,Manchester United,Aston Villa,3:1,LW,34',3:0,Header,Michael Carrick,2006/07,2000s,1,31-45
Premier League ,25,31/01/07,Home,Manchester United,Watford FC,4:0,RW,12',1:0,Penalty,Not Applicable,2006/07,2000s,1,01-15
Premier League ,26,03/02/07,Away,Manchester United,Tottenham Hotspur,0:4,RW,45',0:1,Penalty,Not Applicable,2006/07,2000s,0,31-45
Premier League ,28,24/02/07,Away,Manchester United,Fulham FC,1:2,RW,88',1:2,Solo run,Mikaël Silvestre,2006/07,2000s,0,76-90
FA Cup ,Sixth Round,10/03/07,Away,Manchester United,Middlesbrough FC,2:2,RW,68',2:2,Penalty,Not Applicable,2006/07,2000s,0,61-75
FA Cup ,Sixth Round,19/03/07,Home,Manchester United,Middlesbrough FC,1:0,RW,76',1:0,Penalty,Not Applicable,2006/07,2000s,1,76-90
UEFA Champions League ,Quarter-Finals,10/04/07,Home,Manchester United,AS Roma,7:1,RW,44',4:0,Right-footed shot,Ryan Giggs,2006/07,2000s,1,31-45
UEFA Champions League ,Quarter-Finals,10/04/07,Home,Manchester United,AS Roma,7:1,RW,49',5:0,Right-footed shot,Ryan Giggs,2006/07,2000s,1,46-60
FA Cup ,Semi-Finals,14/04/07,Away,Manchester United,Watford FC,1:4,RW,28',1:2,Right-footed shot,Wayne Rooney,2006/07,2000s,0,16-30
UEFA Champions League ,Semi-Finals,24/04/07,Home,Manchester United,AC Milan,3:2,RW,5',1:0,Header,Ryan Giggs,2006/07,2000s,1,01-15
Premier League ,37,05/05/07,Away,Manchester United,Manchester City,0:1,RW,34',0:1,Penalty,Not Applicable,2006/07,2000s,0,31-45
UEFA Champions League ,Group Stage,19/09/07,Away,Manchester United,Sporting CP,0:1,RW,62',0:1,Header,Wes Brown,2007/08,2000s,0,61-75
Premier League ,8,29/09/07,Away,Manchester United,Birmingham City,0:1,RW,51',0:1,Left-footed shot,Not Applicable,2007/08,2000s,0,46-60
Premier League ,9,06/10/07,Home,Manchester United,Wigan Athletic,4:0,RW,59',2:0,Header,Ryan Giggs,2007/08,2000s,1,46-60
Premier League ,9,06/10/07,Home,Manchester United,Wigan Athletic,4:0,RW,76',3:0,Right-footed shot,Wayne Rooney,2007/08,2000s,1,76-90
UEFA Champions League ,Group Stage,23/10/07,Away,Manchester United,Dynamo Kyiv,2:4,RW,41',1:3,Right-footed shot,Ryan Giggs,2007/08,2000s,0,31-45
UEFA Champions League ,Group Stage,23/10/07,Away,Manchester United,Dynamo Kyiv,2:4,RW,68',1:4,Penalty,Not Applicable,2007/08,2000s,0,61-75
Premier League ,12,03/11/07,Away,Manchester United,Arsenal FC,2:2,RW,82',1:2,Left-footed shot,Patrice Evra,2007/08,2000s,0,76-90
UEFA Champions League ,Group Stage,07/11/07,Home,Manchester United,Dynamo Kyiv,4:0,RW,88',4:0,Right-footed shot,Patrice Evra,2007/08,2000s,1,76-90
Premier League ,13,11/11/07,Home,Manchester United,Blackburn Rovers,2:0,RW,34',1:0,Header,Ryan Giggs,2007/08,2000s,1,31-45
Premier League ,13,11/11/07,Home,Manchester United,Blackburn Rovers,2:0,RW,35',2:0,Right-footed shot,Carlos Tevez,2007/08,2000s,1,31-45
UEFA Champions League ,Group Stage,27/11/07,Home,Manchester United,Sporting CP,2:1,RW,90'+3,2:1,Direct free kick,Not Applicable,2007/08,2000s,1,76-90
Premier League ,15,03/12/07,Home,Manchester United,Fulham FC,2:0,RW,10',1:0,Right-footed shot,Nemanja Vidic‎,2007/08,2000s,1,01-15
Premier League ,15,03/12/07,Home,Manchester United,Fulham FC,2:0,RW,58',2:0,Header,John O'Shea,2007/08,2000s,1,46-60
Premier League ,16,08/12/07,Home,Manchester United,Derby County,4:1,RW,90',4:1,Penalty,Not Applicable,2007/08,2000s,1,76-90
Premier League ,18,23/12/07,Home,Manchester United,Everton FC,2:1,RW,22',1:0,Left-footed shot,Carlos Tevez,2007/08,2000s,1,16-30
Premier League ,18,23/12/07,Home,Manchester United,Everton FC,2:1,RW,87',2:1,Penalty,Not Applicable,2007/08,2000s,1,76-90
Premier League ,19,26/12/07,Away,Manchester United,Sunderland AFC,0:4,RW,45',0:3,Direct free kick,Not Applicable,2007/08,2000s,0,31-45
Premier League ,20,29/12/07,Away,Manchester United,West Ham United,2:1,RW,14',0:1,Header,Ryan Giggs,2007/08,2000s,0,01-15
FA Cup ,Third Round,05/01/08,Away,Manchester United,Aston Villa,0:2,Not Applicable,81',0:1,Left-footed shot,Ryan Giggs,2007/08,2000s,0,76-90
Premier League ,22,12/01/08,Home,Manchester United,Newcastle United,6:0,RW,48',1:0,Direct free kick,Not Applicable,2007/08,2000s,1,46-60
Premier League ,22,12/01/08,Home,Manchester United,Newcastle United,6:0,RW,70',3:0,Right-footed shot,Carlos Tevez,2007/08,2000s,1,61-75
Premier League ,22,12/01/08,Home,Manchester United,Newcastle United,6:0,RW,88',5:0,Left-footed shot,Not Applicable,2007/08,2000s,1,76-90
Premier League ,23,19/01/08,Away,Manchester United,Reading FC,0:2,RW,90'+2,0:2,Right-footed shot,Not Applicable,2007/08,2000s,0,76-90
FA Cup ,Fourth Round,27/01/08,Home,Manchester United,Tottenham Hotspur,3:1,RW,69',2:1,Penalty,Not Applicable,2007/08,2000s,1,61-75
FA Cup ,Fourth Round,27/01/08,Home,Manchester United,Tottenham Hotspur,3:1,RW,88',3:1,Right-footed shot,Ryan Giggs,2007/08,2000s,1,76-90
Premier League ,24,30/01/08,Home,Manchester United,Portsmouth FC,2:0,SS,10',1:0,Right-footed shot,Nani,2007/08,2000s,1,01-15
Premier League ,24,30/01/08,Home,Manchester United,Portsmouth FC,2:0,SS,12',2:0,Direct free kick,Not Applicable,2007/08,2000s,1,01-15
Premier League ,27,23/02/08,Away,Manchester United,Newcastle United,1:5,RW,45',0:2,Right-footed shot,Michael Carrick,2007/08,2000s,0,31-45
Premier League ,27,23/02/08,Away,Manchester United,Newcastle United,1:5,RW,56',0:3,Right-footed shot,Not Applicable,2007/08,2000s,0,46-60
UEFA Champions League ,Round of 16,04/03/08,Home,Manchester United,Olympique Lyon,1:0,RW,41',1:0,Left-footed shot,Not Applicable,2007/08,2000s,1,31-45
